id,forward_packets,forward_total_bytes,Min_forward_inter_arrival_time_difference,Max_forward_inter_arrival_time_difference,Mean_forward_inter_arrival_time_difference,STD_forward_inter_arrival_time_difference,Mean_forward_packets,STD_forward_packets,backward_packets,backward_total_bytes,Min_backward_inter_arrival_time_difference,Max_backward_inter_arrival_time_difference,Mean_backward_inter_arrival_time_difference,STD_backward_inter_arrival_time_difference,Mean_backward_packets,STD_backward_packets,Mean_backward_TTL_value,Total_packets,Minimum_packet_size,Maximum_packet_size,Mean_packet_size,class,Maximum_backward_packet,Maximum_forward_packet,Minimum_backward_packet,Minimum_forward_packet
2334,24,2976,0.0,10.101905999999872,7.262606999999978,4.383272606482659,124.0,324.68901509250225,23,1609,5.700000019714935e-05,6611.495695,294.7187496521739,1377.0152081772394,69.95652173913044,164.8868698286714,64,47,20,1480,97.55319148936171,normal,593.0,1480.0,20.0,20.0
2335,17,787,0.0022969999999986612,10.074612999999772,7.479518000000041,4.385164662610528,46.294117647058826,102.52363429100284,16,1251,0.004584999999678985,6613.831271,420.8432606875,1651.4682016837364,78.1875,231.6854818498561,64,33,20,947,61.75757575757576,normal,947.0,444.0,20.0,20.0
2336,16,4282,0.0,10.031552000000374,4.0764805333333545,4.987818952989504,267.625,509.37018300380845,17,847,0.0,6615.608859,392.74362494117645,1603.6028822347487,49.8235294117647,84.33951868350155,64,33,20,1480,155.42424242424244,normal,347.0,1480.0,20.0,20.0
2337,17,707,0.0010050000000774162,10.166837000000669,7.492407562499977,4.336871502649442,41.588235294117645,83.12946140172674,16,599,0.003386000000318745,6620.511751,421.2658478125,1653.136859926672,37.4375,68.69058038285405,64,33,20,364,39.57575757575758,normal,295.0,364.0,20.0,20.0
2338,4,92,0.011582999999518506,6.05081600000085,2.03986433333345,3.4736608995534897,23.0,6.0,3,64,0.008673000000271713,6620.516015,2208.8594326666666,3820.607868605414,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2339,23,4114,0.0,10.13479499999994,6.702587318181858,4.634751466534481,178.8695652173913,425.4702536710331,22,1240,6.099999973230297e-05,6626.770649,307.91927909090913,1411.3421982886948,56.36363636363637,117.05373021640855,64,45,20,1480,118.97777777777777,normal,418.0,1480.0,20.0,20.0
2340,17,788,0.001053999999385269,10.096736999999848,7.517129249999982,4.400674617382959,46.35294117647059,102.76608218210337,16,592,0.002703000000110478,6627.049123,421.7073639375,1654.7625314722409,37.0,66.94076983921433,64,33,20,445,41.81818181818182,normal,288.0,445.0,20.0,20.0
2341,17,1336,0.0026930000003630994,66.28749500000049,12.683889249999993,26.222032685015854,78.58823529411765,124.77933463895845,19,814,0.002187000000049011,6631.704366,359.71697878947367,1519.0260478685088,42.8421052631579,38.82333656434367,64,36,20,537,59.72222222222222,normal,176.0,537.0,20.0,20.0
2342,4,92,0.012018000000352913,6.166022999999768,2.0642223333334186,3.5522638179355965,23.0,6.0,3,64,0.008088999999927182,6631.700451,2212.625813,3827.0321374475143,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2343,17,780,0.001419000000169035,10.088940999999977,7.5067827500000135,4.350531296535059,45.88235294117647,100.82651086950122,16,785,0.0038100000001577428,6638.270158,422.398326875,1657.5704110215268,49.0625,115.18765486515181,64,33,20,481,47.42424242424242,normal,481.0,437.0,20.0,20.0
2344,17,648,0.0034059999998135027,10.101458000000093,7.49370837500004,4.460116865527463,38.11764705882353,68.82939266125807,17,922,0.002185999999710475,6641.309248,397.7177941176471,1608.9424872637157,54.23529411764706,138.07947413164126,64,34,20,590,46.1764705882353,normal,590.0,305.0,20.0,20.0
2345,17,1585,0.0011219999996683327,10.286114999999882,7.517451062499958,4.367201178658,93.23529411764706,296.04276072295806,16,717,0.003975999999966007,6642.247505,422.6572089375,1658.562039734671,44.8125,98.18840308305253,64,33,20,1242,69.75757575757575,normal,413.0,1242.0,20.0,20.0
2346,4,92,0.015369000000646338,6.645445999999538,2.2268020000001343,3.8266585365523595,23.0,6.0,3,64,0.013552000000345288,6645.368368,2217.343531,3834.7834324801615,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2347,4,92,0.01709700000083103,6.643869999999879,2.2272330000002207,3.824920273107759,23.0,6.0,3,64,0.013903000000027532,6645.369824,2217.343665,3834.78457660584,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2348,4,92,0.013914999999542488,6.644951000000219,2.226007666666495,3.826918082093204,23.0,6.0,3,64,0.013476000000082422,6645.369776,2217.3436483333335,3834.7845498388547,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2349,4,92,0.00882999999976164,6.639111000000412,2.2196420000000217,3.8273725769095943,23.0,6.0,3,64,0.005712999999559543,6645.371174,2217.3398613333334,3834.789041375877,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2350,4,92,0.007610999999997148,6.640087000000676,2.220553000000109,3.827430033781906,23.0,6.0,3,64,0.009669000000030792,6645.371103,2217.3411966666667,3834.7878217970815,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2351,4,92,0.012139000000388478,6.632601999999679,2.219976333333458,3.821446228810682,23.0,6.0,3,64,0.00953899999967689,6645.378109,2217.341163333333,3834.7939150773927,21.333333333333332,2.309401076758503,64,7,20,32,22.285714285714285,normal,24.0,32.0,20.0,20.0
2352,17,1276,0.002358000000640459,10.064180999999735,7.52307275000004,4.375267165111273,75.05882352941177,221.10361558221842,16,548,0.004116000000067288,6645.897321,422.8911373125,1659.472965996955,34.25,55.942232108965165,64,33,20,933,55.27272727272727,normal,244.0,933.0,20.0,20.0
2353,17,1323,0.001419999999598076,10.065531000000192,7.52318812499999,4.37100106940221,77.82352941176471,232.50194496340177,16,548,0.003403999999136431,6645.902167,422.8915113125,1659.474156484681,34.25,55.942232108965165,64,33,20,980,56.696969696969695,normal,244.0,980.0,20.0,20.0
2354,17,1567,0.0037600000005113543,10.081914999999753,7.832695687500006,3.9859063573466034,92.17647058823529,291.67731213065696,16,548,0.007149000000026717,6645.93771,423.202996375,1659.3994983999037,34.25,55.942232108965165,64,33,20,1224,64.0909090909091,normal,244.0,1224.0,20.0,20.0
